Index     ons     dos     tros         x1          y1          z1        x2        y2         z2         x3         y3          z3
98          2      1       3     -0.000106   -0.240296   0.006950   -0.006977   -0.009243   0.000000   -0.750585   25.000000   0.750657
99          1      3       0     -0.044419   0.005945   0.000000   0.483153   25.000000   0.750617      inf         inf         inf   
100         2      1       3     -0.000199   -0.327943   0.009902   -0.009975   0.002007   0.000000   -0.750587   25.000000   0.750654
101         1      2       3     -0.006897   0.003221   0.000000   -0.000102   0.240598   0.007128   -0.750593   25.000000   0.750648
102         1      3       0     -0.015512   -0.007320   0.000000   0.658662   25.000000   0.750619      inf         inf         inf   
103         3      0       0     1.043265   25.000000   -0.748953       inf           inf           inf       inf   inf   inf
104         1      2       3     -0.007131   -0.000140   0.000000   -0.000106   0.245499   0.007375   -0.750598   25.000000   0.750643
105         1      2       3     -0.005333   -0.005978   0.000000   -0.000055   0.176079   0.005465   -0.750584   25.000000   0.750659
106         1      3       0     -0.025345   -0.008713   0.000000   0.599741   25.000000   0.750619      inf         inf         inf   
107         2      1       3     -0.000057   -0.176672   0.005006   -0.005017   -0.010287   0.000000   -0.750589   25.000000   0.750653
108         1      3       0     -0.032391   0.004457   0.000000   0.555497   25.000000   0.750617      inf         inf         inf   
109         1      3       0     -0.039850   0.010005   0.000000   0.510018   25.000000   0.750616      inf         inf         inf   
110         3      0       0     1.030803   25.000000   -0.748148       inf           inf           inf       inf   inf   inf
111         3      0       0     0.916999   25.000000   -0.753286       inf           inf           inf       inf   inf   inf
112         1      2       3     -0.008422   -0.005771   0.000000   -0.000144   0.285998   0.008758   -0.750594   25.000000   0.750646
113         1      3       0     -0.034957   -0.005009   0.000000   0.541410   25.000000   0.750618      inf         inf         inf   
114         1      3       0     -0.032575   -0.009962   0.000000   0.556427   25.000000   0.750619      inf         inf         inf   
115         3      0       0     0.934402   25.000000   -0.750432       inf           inf           inf       inf   inf   inf
116         3      0       0     0.853362   25.000000   -0.750258       inf           inf           inf       inf   inf   inf
117         3      0       0     0.982945   25.000000   -0.753199       inf           inf           inf       inf   inf   inf
118         2      1       3     -0.000005   -0.052758   0.001124   -0.001123   -0.015449   0.000000   -0.750612   25.000000   0.750624
119         1      3       0     -0.049166   -0.007904   0.000000   0.456361   25.000000   0.750619      inf         inf         inf   
120         3      0       0     0.998863   25.000000   -0.749826       inf           inf           inf       inf   inf   inf
121         1      3       0     -0.034528   -0.003939   0.000000   0.543843   25.000000   0.750618      inf         inf         inf   
122         3      0       0     0.988007   25.000000   -0.749402       inf           inf           inf       inf   inf   inf
123         2      1       3     -0.000093   -0.224867   0.006412   -0.006432   -0.011805   0.000000   -0.750610   25.000000   0.750627
124         1      2       3     -0.008354   -0.006066   0.000000   -0.000141   0.283239   0.008684   -0.750594   25.000000   0.750646
125         1      2       3     -0.001644   -0.016036   0.000000   -0.000003   0.039068   0.001654   -0.750586   25.000000   0.750657
126         1      3       0     -0.039957   0.010211   0.000000   0.509352   25.000000   0.750616      inf         inf         inf   
127         1      3       0     -0.030271   -0.009768   0.000000   0.570262   25.000000   0.750619      inf         inf         inf   
128         1      3       0     -0.010986   -0.010597   0.000000   0.686426   25.000000   0.750619      inf         inf         inf   
129         1      2       3     -0.003077   -0.001536   0.000000   -0.000019   0.102436   0.003122   -0.750601   25.000000   0.750639
130         1      3       0     -0.029310   0.006233   0.000000   0.573722   25.000000   0.750617      inf         inf         inf   
131         1      3       0     -0.036194   0.011125   0.000000   0.531772   25.000000   0.750616      inf         inf         inf   
132         1      3       0     -0.031744   0.008140   0.000000   0.558856   25.000000   0.750616      inf         inf         inf   
133         1      3       0     -0.012446   -0.001904   0.000000   0.676199   25.000000   0.750618      inf         inf         inf   
134         3      0       0     0.909482   25.000000   -0.750790       inf           inf           inf       inf   inf   inf
135         3      0       0     1.028238   25.000000   -0.749775       inf           inf           inf       inf   inf   inf
136         1      2       3     -0.007419   0.010139   0.000000   -0.000125   0.266242   0.007693   -0.750583   25.000000   0.750660
137         3      0       0     0.960014   25.000000   -0.747621       inf           inf           inf       inf   inf   inf
138         1      2       3     -0.002946   0.015534   0.000000   -0.000024   0.115126   0.002993   -0.750618   25.000000   0.750618
139         3      0       0     0.964429   25.000000   -0.749044       inf           inf           inf       inf   inf   inf
140         2      1       3     -0.000022   -0.109073   0.003048   -0.003051   -0.007729   0.000000   -0.750612   25.000000   0.750624
141         3      0       0     0.991517   25.000000   -0.748466       inf           inf           inf       inf   inf   inf
142         2      1       3     -0.000028   -0.124894   0.004004   -0.004019   0.008690   0.000000   -0.750589   25.000000   0.750652
143         2      1       3     -0.000090   -0.221782   0.006642   -0.006673   -0.000580   0.000000   -0.750615   25.000000   0.750621
144         2      1       3     -0.000251   -0.367992   0.011049   -0.011138   0.000044   0.000000   -0.750616   25.000000   0.750619
145         2      1       3     -0.000077   -0.204745   0.006276   -0.006307   0.004479   0.000000   -0.750590   25.000000   0.750651
146         1      3       0     -0.031229   0.003768   0.000000   0.562564   25.000000   0.750617      inf         inf         inf   
147         3      0       0     0.985418   25.000000   -0.752497       inf           inf           inf       inf   inf   inf
148         3      0       0     0.875579   25.000000   -0.749102       inf           inf           inf       inf   inf   inf
149         1      3       0     -0.035812   -0.003594   0.000000   0.536079   25.000000   0.750618      inf         inf         inf   
150         1      3       0     -0.047322   -0.016319   0.000000   0.468494   25.000000   0.750620      inf         inf         inf   
151         1      3       0     -0.010660   -0.007359   0.000000   0.687842   25.000000   0.750619      inf         inf         inf   
152         1      3       0     -0.038967   -0.008942   0.000000   0.517836   25.000000   0.750619      inf         inf         inf   
153         3      0       0     0.996417   25.000000   -0.749147       inf           inf           inf       inf   inf   inf
154         1      3       0     -0.018439   0.006129   0.000000   0.638933   25.000000   0.750617      inf         inf         inf   
155         1      3       0     -0.046521   -0.010353   0.000000   0.472574   25.000000   0.750619      inf         inf         inf   
156         3      0       0     0.885661   25.000000   -0.751437       inf           inf           inf       inf   inf   inf
157         1      3       0     -0.014787   -0.012790   0.000000   0.663914   25.000000   0.750619      inf         inf         inf   
158         1      3       0     -0.049264   0.014820   0.000000   0.453027   25.000000   0.750616      inf         inf         inf   
159         1      3       0     -0.049220   0.014159   0.000000   0.453367   25.000000   0.750616      inf         inf         inf   
160         1      3       0     -0.026599   -0.012209   0.000000   0.592720   25.000000   0.750619      inf         inf         inf   
161         1      3       0     -0.043227   0.002620   0.000000   0.490723   25.000000   0.750617      inf         inf         inf   
162         1      3       0     -0.027322   0.007833   0.000000   0.585412   25.000000   0.750617      inf         inf         inf   
